ID,怪物名稱,_Target_Type,等級,命中率要求,最大HP,最大SP,力量,體力,魔法,幸運,減傷率(%),物理最小傷害,物理最大傷害,魔法最小傷害,魔法最大傷害,移動速度,跳躍力,屬性力,物理固定傷害,物理傷害減少,物理貫穿力,魔法貫穿力,跳躍攻擊力,最小攻擊力,最大攻擊力,物理暴擊傷害,魔法暴擊 傷害,治愈效果,治愈暴擊率,最大HP係數,最大MP係數,HP恢復倍率,SP恢復倍率,物理命中率,魔法命中率,物理回避率,魔法回避率,物理背後攻擊傷害,魔法背後攻擊傷害,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,防禦力,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,魔法固定傷害,魔法傷害減少,屬性最小傷害,屬性最大傷害,抵抗力,屬性傷害,物理免疫,魔法免疫,屬性免疫,暴擊抗性,眩晕抵抗率,睡眠抵抗率,混乱抵抗率,冰冻抵抗率,下落速度,最大下落速度,_EffectID1,_EffectID2,_EffectID3,_EffectID4,_RecallID,_Drop_place,_Active_mob,_LifeTime,_LifeTime2,_Mob_Type,_HP_reset,_HIT_Revision,_SealSkill_Probability,_SealSkill_ID,怪物傷害類型,是否為BOSS,_Difficulty_Check
810001384,엔지스타 몬스터 소환3 굴리기 150,8,150,0,2880.0,2880,1,1,1,1,0,95,105,95,105,0,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001385,엔지스타 몬스터 소환3 굴리기 160,8,160,0,3060.0,3060,1,1,1,1,0,95,105,95,105,0,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001386,엔지스타 몬스터 소환3 굴리기 170,8,170,0,3240.0,3240,1,1,1,1,0,95,105,95,105,0,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001387,엔지스타 몬스터 소환3 굴리기 180,8,180,0,3420.0,3420,1,1,1,1,0,95,105,95,105,0,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001388,엔지스타 몬스터 소환3 굴리기 190,8,190,0,3600.0,3600,1,1,1,1,0,95,105,95,105,0,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001389,엔지스타 몬스터 소환 바리어 140,8,140,0,57474.0,57474,1,1,1,1,0,95,105,95,105,156,-800,1,0,101,0,0,217,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2130,0,0,100,100,0,132,0,0,2100,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001390,엔지스타 몬스터 소환 바리어 150,8,150,0,65670.0,65670,1,1,1,1,0,95,105,95,105,156,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001391,엔지스타 몬스터 소환 바리어 160,8,160,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001392,엔지스타 몬스터 소환 바리어 170,8,170,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001393,엔지스타 몬스터 소환 바리어 180,8,180,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001394,엔지스타 몬스터 소환 바리어 190,8,190,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001395,엔지스타 몬스터 소환 로봇 140,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001396,엔지스타 몬스터 소환 로봇 150,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001397,엔지스타 몬스터 소환 로봇 160,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001398,엔지스타 몬스터 소환 로봇 170,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001399,엔지스타 몬스터 소환 로봇 180,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001400,엔지스타 몬스터 소환 로봇 190,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001401,타락한 제국군 유격기사,3,150,0,59063.0,218,580,580,580,1635,0,95,105,95,105,156,-800,673,0,109,0,0,77,596,750,50,50,50,50,325,150,2,3,75,75,0,0,20,20,67,200,67,200,2280,0,0,100,100,0,142,0,0,2280,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001402,여름의 실크윔,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-800,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001403,가을의 펌프킨,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-165,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001404,겨울의 설녀,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-800,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001405,깜찍 콩양이,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-800,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001406,겁쟁이 에그 건너,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-800,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001407,수줍 고블린아낙,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-800,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001408,근엄 코볼트 근위대,3,1,0,3.0,3,1,1,1,1,0,95,105,95,105,132,-900,3,0,0,0,0,4,5,8,50,50,50,0,520,240,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001409,허약한 고블린 꼬마,3,182,0,96336.0,263,748,748,748,2114,0,95,105,95,105,156,-800,1018,0,133,0,0,93,902,1133,50,50,50,50,325,150,2,3,91,91,0,0,20,20,87,200,87,200,2760,0,0,100,100,0,174,0,0,2760,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001410,허약한 고블린 아낙,3,183,0,97534.0,264,753,753,753,2130,0,95,105,95,105,156,-800,1029,0,133,0,0,94,912,1146,50,50,50,50,325,150,2,3,92,92,0,0,20,20,87,200,87,200,2775,0,0,100,100,0,175,0,0,2775,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001411,허약한 고블린 병사,3,184,0,98739.0,266,759,759,759,2146,0,95,105,95,105,156,-800,1042,0,134,0,0,94,923,1160,50,50,50,50,325,150,2,3,92,92,0,0,20,20,88,200,88,200,2790,0,0,100,100,0,176,0,0,2790,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810001412,소시 탱구,3,200,0,454710000.0,454710000,2890,4617,1735,2308,0,95,105,95,105,156,-800,1049,0,146,0,3,1025,2522,2772,50,50,50,50,3250,1500,4,2,300,300,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810001413,강화된 프레스 140,8,145,0,65670.0,65670,1,1,1,1,0,95,105,95,105,156,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001414,강화된 프레스 150,8,155,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001415,강화된 프레스 160,8,165,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001416,강화된 프레스 170,8,175,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001417,강화된 프레스 180,8,185,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001418,강화된 프레스 190,8,195,0,114840.0,114840,1,1,1,1,0,95,105,95,105,156,-800,1,0,146,0,0,307,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001419,강화된 대포 140,8,145,0,65670.0,65670,1,1,1,1,0,95,105,95,105,156,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001420,강화된 대포 150,8,155,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001421,강화된 대포 160,8,165,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001422,강화된 대포 170,8,175,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001423,강화된 대포 180,8,185,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001424,강화된 대포 190,8,195,0,114840.0,114840,1,1,1,1,0,95,105,95,105,156,-800,1,0,146,0,0,307,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001425,강화된 굴리기 140,8,145,0,65670.0,65670,1,1,1,1,0,95,105,95,105,0,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001426,강화된 굴리기 150,8,155,0,74412.0,74412,1,1,1,1,0,95,105,95,105,0,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001427,강화된 굴리기 160,8,165,0,83700.0,83700,1,1,1,1,0,95,105,95,105,0,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001428,강화된 굴리기 170,8,175,0,93534.0,93534,1,1,1,1,0,95,105,95,105,0,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001429,강화된 굴리기 180,8,185,0,103914.0,103914,1,1,1,1,0,95,105,95,105,0,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001430,강화된 굴리기 190,8,195,0,114840.0,114840,1,1,1,1,0,95,105,95,105,0,-800,1,0,146,0,0,307,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,31900001,60000237,60000239,0,0,1,1,12,12,3,0,30,0,0,1,0,0
810001431,강화된 바리어 140,8,145,0,65670.0,65670,1,1,1,1,0,95,105,95,105,156,-800,1,0,109,0,0,232,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2280,0,0,100,100,0,142,0,0,2250,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001432,강화된 바리어 150,8,155,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001433,강화된 바리어 160,8,165,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001434,강화된 바리어 170,8,175,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001435,강화된 바리어 180,8,185,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001436,강화된 바리어 190,8,195,0,114840.0,114840,1,1,1,1,0,95,105,95,105,156,-800,1,0,146,0,0,307,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,100,100,3,0,30,0,0,1,0,0
810001437,강화된 로봇 140,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001438,강화된 로봇 150,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001439,강화된 로봇 160,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001440,강화된 로봇 170,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001441,강화된 로봇 180,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001442,강화된 로봇 190,7,190,0,60.0,20,1,1,1,1,0,95,105,95,105,250,-800,1,0,90000000,0,0,292,1,1,50,50,50,50,0,0,3,2,30,30,0,0,20,20,100,200,100,200,90000000,0,0,100,100,0,90000000,0,0,90000000,0,0,0,0,0,1000,1000,1000,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,210,210,2,0,30,0,0,1,0,0
810001443,완벽한 프레스 140,8,150,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001444,완벽한 프레스 150,8,160,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001445,완벽한 프레스 160,8,170,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001446,완벽한 프레스 170,8,180,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001447,완벽한 프레스 180,8,190,0,114840.0,114840,1,1,1,1,0,95,105,95,105,156,-800,1,0,146,0,0,307,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3030,0,0,100,100,0,192,0,0,3000,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001448,완벽한 프레스 190,8,200,0,126312.0,126312,1,1,1,1,0,95,105,95,105,156,-800,1,0,154,0,0,322,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,3180,0,0,100,100,0,202,0,0,3150,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,90,90,3,0,30,0,0,1,0,0
810001449,완벽한 대포 140,8,150,0,74412.0,74412,1,1,1,1,0,95,105,95,105,156,-800,1,0,116,0,0,247,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2430,0,0,100,100,0,152,0,0,2400,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001450,완벽한 대포 150,8,160,0,83700.0,83700,1,1,1,1,0,95,105,95,105,156,-800,1,0,124,0,0,262,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2580,0,0,100,100,0,162,0,0,2550,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001451,완벽한 대포 160,8,170,0,93534.0,93534,1,1,1,1,0,95,105,95,105,156,-800,1,0,131,0,0,277,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2730,0,0,100,100,0,172,0,0,2700,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
810001452,완벽한 대포 170,8,180,0,103914.0,103914,1,1,1,1,0,95,105,95,105,156,-800,1,0,139,0,0,292,1,1,50,50,50,50,0,450,3,2,30,30,0,0,20,20,100,200,100,200,2880,0,0,100,100,0,182,0,0,2850,0,0,0,0,0,0,0,0,0,1600,30,60000237,60000239,60000238,60000240,0,1,1,147,147,3,0,30,0,0,1,0,0
