ID,名稱,類別,屬性
490,深淵香蕉徽章 +9,戰鬥裝備,"物理/魔法爆擊傷害 +4%
物理/魔法最大傷害 +4%
物理/魔法最小傷害 +4%"
491,厄運的手套★★★,戰鬥裝備,魔力+15
492,厄運的護甲★★★,戰鬥裝備,所有能力值 +10
493,厄運的褲裙★★★,戰鬥裝備,體力 +10
494,厄運的靴子★★★,戰鬥裝備,幸運+10
495,厄運的頭盔★★★,戰鬥裝備,力量+15
496,學院院長綴飾 +9,戰鬥裝備,"最小/最大攻擊力 +10
屬性力+10
物理/魔法貫穿力 +5%"
497,神木教本★★★,戰鬥裝備,"最小/最大攻擊力 +5
屬性力+5
所有能力值 +15"
498,地獄項鍊★★★,戰鬥裝備,"力量+15
魔力+15"
499,山林徽章 +9,戰鬥裝備,一般怪物追加傷害 +25
500,樹林徽章 +9,戰鬥裝備,BOSS怪物追加傷害 +25
501,地獄的第2個徽章★★★,戰鬥裝備,"物理/魔法爆擊傷害 +1%
物理/魔法傷害 +10"
502,地獄的第4個徽章★★★,戰鬥裝備,"最大HP +50
所有能力值 +15"
503,超人腰帶 +30,戰鬥裝備,"物理/魔法爆擊傷害 +4%
物理/魔法最大傷害 +4%
物理/魔法最小傷害 +4%"
504,神木眉心貼★★★,戰鬥裝備,"力量+5
魔力+5"
505,神木絲襪★★★,戰鬥裝備,"體力 +5
幸運+5"
506,聖地眼鏡★★★,戰鬥裝備,"最小/最大攻擊力 +3
屬性力+3"
507,聖地披風★★★,戰鬥裝備,"物理/魔法最大傷害 +2%
物理/魔法最小傷害 +2%"
508,純潔戒指★★★,戰鬥裝備,"物理/魔法爆擊傷害 +2%
所有能力值 +5"
509,純潔耳環★★★,戰鬥裝備,"一般怪物追加傷害 +5
BOSS怪物追加傷害 +5"
510,神獸眉心貼★★★,戰鬥裝備,"力量+5
魔力+5"
511,神獸絲襪★★★,戰鬥裝備,"體力 +5
幸運+5"
512,聖域眼鏡★★★,戰鬥裝備,"最小/最大攻擊力 +3
屬性力+3"
513,聖域披風★★★,戰鬥裝備,"物理/魔法最大傷害 +2%
物理/魔法最小傷害 +2%"
514,淨化戒指★★★,戰鬥裝備,"物理/魔法爆擊傷害 +2%
所有能力值 +5"
515,淨化耳環★★★,戰鬥裝備,"一般怪物追加傷害 +5
BOSS怪物追加傷害 +5"
516,另一面的項鍊★★★,戰鬥裝備,"力量+15
魔力+15"
517,另一面的第2個徽章★★★,戰鬥裝備,"物理/魔法爆擊傷害 +1%
最大HP +50"
518,另一面的第4個徽章★★★,戰鬥裝備,"物理/魔法傷害 +10
所有能力值 +15"
519,諾克斯王子的腰帶 +30,戰鬥裝備,"物理/魔法爆擊傷害 +4%
物理/魔法最大傷害 +4%
物理/魔法最小傷害 +4%"
520,虛無的胸針 +30,戰鬥裝備,"物理/魔法爆擊傷害 +4%
物理/魔法最大傷害 +4%
物理/魔法最小傷害 +4%"
521,雷黛的赤焰徽章 +9,戰鬥裝備,"最小/最大攻擊力 +10
力量+5"
522,雷黛的青焰徽章 +9,戰鬥裝備,"屬性力+10
魔力+5"
523,米卡艾拉的貼紙 +30,戰鬥裝備,"物理/魔法爆擊傷害 +2%
最大HP +100"
524,米卡艾拉綴飾 +9,戰鬥裝備,"所有能力值 +30
物理/魔法傷害 +50"
525,噩夢教本★★★,戰鬥裝備,"物理/魔法命中率 +2%
水抵抗力+50"
526,莉莉歐佩的項鍊★★★,戰鬥裝備,"物理/魔法貫穿力 +2%
防禦力+50"
527,阿爾戈斯腰帶 +30,戰鬥裝備,"物理/魔法最大傷害 +2%
所有能力值 +30"
528,回音之泉的第2個徽章★★★,戰鬥裝備,"最小/最大攻擊力 +5
物理/魔法傷害 +50"
529,回音之泉的第4個徽章★★★,戰鬥裝備,"屬性力+5
物理/魔法傷害 +50"
530,魔法學院的紅色結晶 +9,戰鬥裝備,"力量+30
最大HP +100"
531,魔法學院的黃色結晶 +9,戰鬥裝備,"體力 +30
物理/魔法傷害 +50"
532,魔法學院的藍色結晶 +9,戰鬥裝備,"魔力+30
最大HP +100"
533,聖域的紅色結晶 +9,戰鬥裝備,"力量+30
物理/魔法最小傷害 +2%"
534,聖域的黃色結晶 +9,戰鬥裝備,"體力 +30
物理/魔法最小傷害 +2%"
535,聖域的藍色結晶 +9,戰鬥裝備,"魔力+30
物理/魔法最小傷害 +2%"
536,米諾斯的第1個徽章 +9,戰鬥裝備,"最小/最大攻擊力 +6
屬性力+6"
537,心臟胸針 +30,戰鬥裝備,"物理/魔法最大傷害 +5%
物理/魔法最小傷害 +5%"
538,迴響眉心貼★★★,戰鬥裝備,"力量+30
幸運+30"
539,迴響絲襪★★★,戰鬥裝備,"魔力+30
體力 +30"
540,迴響眼鏡★★★,戰鬥裝備,"最小/最大攻擊力 +3
屬性力+3"
541,精靈眉心貼★★★,戰鬥裝備,"一般怪物追加傷害 +40
物理/魔法傷害減少 +10"
542,精靈絲襪★★★,戰鬥裝備,"BOSS怪物追加傷害 +40
物理/魔法傷害 +10"
543,精靈眼鏡★★★,戰鬥裝備,"最小/最大攻擊力 +3
屬性力+3"
544,天使教本★★★,戰鬥裝備,"物理/魔法命中率 +2%
水抵抗力+50"
545,柯羅諾斯的貼紙 +30,戰鬥裝備,"物理/魔法爆擊傷害 +2%
最大HP +150"
546,米諾斯的第3個徽章 +9,戰鬥裝備,"力量+50
魔力+50"
547,聖皇手套★★★,戰鬥裝備,"魔力+35
最大HP +100"
548,聖皇護甲★★★,戰鬥裝備,"所有能力值 +25
最大HP +100"
549,聖皇褲裙★★★,戰鬥裝備,"體力 +35
最大HP +100"
550,聖皇靴子★★★,戰鬥裝備,"幸運+35
最大HP +100"
551,聖皇頭盔★★★,戰鬥裝備,"力量+35
最大HP +100"
552,玩偶的項鍊★★★,戰鬥裝備,"物理/魔法最大傷害 +2%
防禦力+60"
553,時間的紅色結晶 +9,戰鬥裝備,"力量+35
物理/魔法最小傷害 +2%"
554,時間的黃色結晶 +9,戰鬥裝備,"體力 +35
物理/魔法傷害 +50"
555,時間的藍色結晶 +9,戰鬥裝備,"魔力+35
物理/魔法最小傷害 +2%"
556,卡伊洛斯綴飾 +9,戰鬥裝備,"所有能力值 +20
物理/魔法傷害 +80"
557,思琪菈腰帶 +30,戰鬥裝備,"物理/魔法最大傷害 +2%
所有能力值 +35"
558,利卡里亞胸針 +30,戰鬥裝備,"物理/魔法最大傷害 +3%
物理/魔法最小傷害 +3%"
559,玩偶的第2個徽章★★★,戰鬥裝備,"最小/最大攻擊力 +5
物理/魔法傷害 +60"
560,玩偶的第4個徽章★★★,戰鬥裝備,"屬性力+5
物理/魔法傷害 +60"
561,回音披風★★★,戰鬥裝備,"物理/魔法最大傷害 +2%
物理/魔法最小傷害 +2%"
562,回音戒指★★★,戰鬥裝備,"物理/魔法爆擊傷害 +2%
一般怪物追加傷害 +30"
563,回音耳環★★★,戰鬥裝備,"所有能力值 +20
BOSS怪物追加傷害 +30"
564,雪原披風★★★,戰鬥裝備,"物理/魔法最大傷害 +2%
物理/魔法最小傷害 +2%"
565,雪原戒指★★★,戰鬥裝備,"物理/魔法爆擊傷害 +2%
一般怪物追加傷害 +30"
566,雪原耳環★★★,戰鬥裝備,"所有能力值 +20
BOSS怪物追加傷害 +30"
