ID,鑲嵌類型ID,鑲嵌屬性名稱,自然最小數值,自然最大數值,鑲嵌最小數值,鑲嵌最大數值,鑲嵌材料,最小耐久度消耗,最大耐久度消耗,概率補正,成功率(%),手續費
2012,19,Lv12 幸運 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2013,19,Lv13 幸運 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2014,19,Lv14 幸運 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2015,19,Lv15 幸運 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2016,19,Lv16 幸運 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2017,19,Lv17 幸運 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2018,19,Lv18 幸運 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2019,19,Lv19 幸運 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2020,19,Lv20 幸運 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2021,19,Lv1 魔力 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2022,19,Lv2 魔力 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2023,19,Lv3 魔力 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2024,19,Lv4 魔力 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2025,19,Lv5 魔力 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2026,19,Lv6 魔力 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2027,19,Lv7 魔力 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2028,19,Lv8 魔力 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2029,19,Lv9 魔力 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2030,19,Lv10 魔力 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2031,19,Lv11 魔力 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2032,19,Lv12 魔力 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2033,19,Lv13 魔力 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2034,19,Lv14 魔力 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2035,19,Lv15 魔力 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2036,19,Lv16 魔力 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2037,19,Lv17 魔力 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2038,19,Lv18 魔力 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2039,19,Lv19 魔力 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2040,19,Lv20 魔力 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2041,19,Lv1 體力 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2042,19,Lv2 體力 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2043,19,Lv3 體力 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2044,19,Lv4 體力 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2045,19,Lv5 體力 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2046,19,Lv6 體力 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2047,19,Lv7 體力 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2048,19,Lv8 體力 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2049,19,Lv9 體力 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2050,19,Lv10 體力 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2051,19,Lv11 體力 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2052,19,Lv12 體力 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2053,19,Lv13 體力 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2054,19,Lv14 體力 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2055,19,Lv15 體力 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2056,19,Lv16 體力 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2057,19,Lv17 體力 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2058,19,Lv18 體力 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2059,19,Lv19 體力 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2060,19,Lv20 體力 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2061,19,Lv13 物理最小傷害 %+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2062,19,Lv14 物理最小傷害 %+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2063,19,Lv15 物理最小傷害 %+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2064,19,Lv16 物理最小傷害 %+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2065,19,Lv17 物理最小傷害 %+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2066,19,Lv18 物理最小傷害 %+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2067,19,Lv19 物理最小傷害 %+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2068,19,Lv20 物理最小傷害 %+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2069,19,Lv13 物理最大傷害%+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2070,19,Lv14 物理最大傷害%+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2071,19,Lv15 物理最大傷害%+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2072,19,Lv16 物理最大傷害%+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2073,19,Lv17 物理最大傷害%+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2074,19,Lv18 物理最大傷害%+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2075,19,Lv19 物理最大傷害%+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2076,19,Lv20 物理最大傷害%+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2077,19,Lv1 魔法最小傷害%+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2078,19,Lv2 魔法最小傷害%+d％,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
2079,19,Lv3 魔法最小傷害%+d％,3,6,1,3,鑲嵌拼圖 X1,5,15,10,95,5000
2080,19,Lv4 魔法最小傷害%+d％,5,8,2,3,鑲嵌拼圖 X1,5,15,10,95,8000
2081,19,Lv5 魔法最小傷害%+d％,7,11,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
2082,19,Lv6 魔法最小傷害%+d％,9,14,2,4,鑲嵌拼圖 X1,5,15,10,95,18000
2083,19,Lv7 魔法最小傷害%+d％,11,17,2,4,鑲嵌拼圖 X1,5,15,10,95,27000
2084,19,Lv8 魔法最小傷害%+d％,13,21,2,5,鑲嵌拼圖 X1,5,15,10,95,55000
2085,19,Lv9 魔法最小傷害%+d％,15,24,2,5,鑲嵌拼圖 X1,5,15,10,95,68500
2086,19,Lv10 魔法最小傷害%+d％,18,29,3,6,鑲嵌拼圖 X1,5,15,10,95,89000
2087,19,Lv11 魔法最小傷害%+d％,22,31,4,8,鑲嵌拼圖 X1,5,15,-70,70,300000
2088,19,Lv12 魔法最小傷害%+d％,26,37,4,9,鑲嵌拼圖 X1,5,15,-70,60,500000
2089,19,Lv13 魔法最小傷害%+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2090,19,Lv14 魔法最小傷害%+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2091,19,Lv15 魔法最小傷害%+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2092,19,Lv16 魔法最小傷害%+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2093,19,Lv17 魔法最小傷害%+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2094,19,Lv18 魔法最小傷害%+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2095,19,Lv19 魔法最小傷害%+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2096,19,Lv20 魔法最小傷害%+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2097,19,Lv1 魔法最大傷害%+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2098,19,Lv2 魔法最大傷害%+d％,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
2099,19,Lv3 魔法最大傷害%+d％,3,6,1,3,鑲嵌拼圖 X1,5,15,10,95,5000
2100,19,Lv4 魔法最大傷害%+d％,5,8,2,3,鑲嵌拼圖 X1,5,15,10,95,8000
2101,19,Lv5 魔法最大傷害%+d％,7,11,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
2102,19,Lv6 魔法最大傷害%+d％,9,14,2,4,鑲嵌拼圖 X1,5,15,10,95,18000
2103,19,Lv7 魔法最大傷害%+d％,11,17,2,4,鑲嵌拼圖 X1,5,15,10,95,27000
2104,19,Lv8 魔法最大傷害%+d％,13,21,2,5,鑲嵌拼圖 X1,5,15,10,95,55000
2105,19,Lv9 魔法最大傷害%+d％,15,24,2,5,鑲嵌拼圖 X1,5,15,10,95,68500
2106,19,Lv10 魔法最大傷害%+d％,18,29,3,6,鑲嵌拼圖 X1,5,15,10,95,89000
2107,19,Lv11 魔法最大傷害%+d％,22,31,4,8,鑲嵌拼圖 X1,5,15,-70,70,300000
2108,19,Lv12 魔法最大傷害%+d％,26,37,4,9,鑲嵌拼圖 X1,5,15,-70,60,500000
2109,19,Lv13 魔法最大傷害%+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2110,19,Lv14 魔法最大傷害%+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2111,19,Lv15 魔法最大傷害%+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2112,19,Lv16 魔法最大傷害%+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2113,19,Lv17 魔法最大傷害%+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2114,19,Lv18 魔法最大傷害%+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2115,19,Lv19 魔法最大傷害%+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2116,19,Lv20 魔法最大傷害%+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2117,19,Lv1 魔法攻擊命中率 %+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2118,19,Lv2 魔法攻擊命中率 %+d％,2,3,1,2,鑲嵌拼圖 X1,5,15,10,95,2500
2119,19,Lv3 魔法攻擊命中率 %+d％,3,5,1,2,鑲嵌拼圖 X1,5,15,10,95,5000
2120,19,Lv4 魔法攻擊命中率 %+d％,4,6,1,2,鑲嵌拼圖 X1,5,15,10,95,8000
2121,19,Lv5 魔法攻擊命中率 %+d％,6,8,2,2,鑲嵌拼圖 X1,5,15,10,95,12000
2122,19,Lv6 魔法攻擊命中率 %+d％,8,11,2,3,鑲嵌拼圖 X1,5,15,10,95,18000
2123,19,Lv7 魔法攻擊命中率 %+d％,10,13,2,3,鑲嵌拼圖 X1,5,15,10,95,27000
2124,19,Lv8 魔法攻擊命中率 %+d％,12,16,2,3,鑲嵌拼圖 X1,5,15,10,95,55000
2125,19,Lv9 魔法攻擊命中率 %+d％,14,19,2,4,鑲嵌拼圖 X1,5,15,10,95,68500
2126,19,Lv10 魔法攻擊命中率 %+d％,17,22,3,4,鑲嵌拼圖 X1,5,15,10,95,89000
2127,19,Lv11 魔法攻擊命中率 %+d％,21,21,3,4,鑲嵌拼圖 X1,5,15,-70,70,300000
2128,19,Lv12 魔法攻擊命中率 %+d％,25,25,3,4,鑲嵌拼圖 X1,5,15,-70,60,500000
2129,19,Lv13 魔法攻擊命中率 %+d％,28,29,4,5,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2130,19,Lv14 魔法攻擊命中率 %+d％,31,33,4,5,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2131,19,Lv15 魔法攻擊命中率 %+d％,35,38,6,7,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2132,19,Lv16 魔法攻擊命中率 %+d％,39,43,6,7,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2133,19,Lv17 魔法攻擊命中率 %+d％,44,49,7,8,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2134,19,Lv18 魔法攻擊命中率 %+d％,49,55,7,8,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2135,19,Lv19 魔法攻擊命中率 %+d％,55,62,8,9,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2136,19,Lv20 魔法攻擊命中率 %+d％,61,69,8,9,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2137,20,Lv1 力量 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2138,20,Lv2 力量 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2139,20,Lv3 力量 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2140,20,Lv4 力量 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2141,20,Lv5 力量 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2142,20,Lv6 力量 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2143,20,Lv7 力量 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2144,20,Lv8 力量 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2145,20,Lv9 力量 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2146,20,Lv10 力量 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2147,20,Lv11 力量 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2148,20,Lv12 力量 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2149,20,Lv13 力量 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2150,20,Lv14 力量 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2151,20,Lv15 力量 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2152,20,Lv16 力量 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2153,20,Lv17 力量 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2154,20,Lv18 力量 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2155,20,Lv19 力量 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2156,20,Lv20 力量 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2157,20,Lv1 幸運 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2158,20,Lv2 幸運 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2159,20,Lv3 幸運 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2160,20,Lv4 幸運 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2161,20,Lv5 幸運 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2162,20,Lv6 幸運 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2163,20,Lv7 幸運 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2164,20,Lv8 幸運 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2165,20,Lv9 幸運 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2166,20,Lv10 幸運 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2167,20,Lv11 幸運 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2168,20,Lv12 幸運 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2169,20,Lv13 幸運 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2170,20,Lv14 幸運 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2171,20,Lv15 幸運 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2172,20,Lv16 幸運 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2173,20,Lv17 幸運 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2174,20,Lv18 幸運 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2175,20,Lv19 幸運 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2176,20,Lv20 幸運 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2177,20,Lv1 魔力 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2178,20,Lv2 魔力 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2179,20,Lv3 魔力 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2180,20,Lv4 魔力 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2181,20,Lv5 魔力 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2182,20,Lv6 魔力 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2183,20,Lv7 魔力 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2184,20,Lv8 魔力 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2185,20,Lv9 魔力 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2186,20,Lv10 魔力 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2187,20,Lv11 魔力 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2188,20,Lv12 魔力 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2189,20,Lv13 魔力 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2190,20,Lv14 魔力 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2191,20,Lv15 魔力 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2192,20,Lv16 魔力 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2193,20,Lv17 魔力 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2194,20,Lv18 魔力 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2195,20,Lv19 魔力 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2196,20,Lv20 魔力 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2197,20,Lv1 體力 %+d,2,3,2,4,鑲嵌拼圖 X1,5,15,10,95,1000
2198,20,Lv2 體力 %+d,3,6,2,4,鑲嵌拼圖 X1,5,15,10,95,2500
2199,20,Lv3 體力 %+d,4,9,2,4,鑲嵌拼圖 X1,5,15,10,95,5000
2200,20,Lv4 體力 %+d,5,13,2,5,鑲嵌拼圖 X1,5,15,10,95,8000
2201,20,Lv5 體力 %+d,7,17,3,5,鑲嵌拼圖 X1,5,15,10,95,12000
2202,20,Lv6 體力 %+d,9,21,3,6,鑲嵌拼圖 X1,5,15,10,95,18000
2203,20,Lv7 體力 %+d,11,26,3,6,鑲嵌拼圖 X1,5,15,10,95,27000
2204,20,Lv8 體力 %+d,12,31,3,7,鑲嵌拼圖 X1,5,15,10,95,55000
2205,20,Lv9 體力 %+d,15,37,4,8,鑲嵌拼圖 X1,5,15,10,95,68500
2206,20,Lv10 體力 %+d,17,43,4,9,鑲嵌拼圖 X1,5,15,10,95,89000
2207,20,Lv11 體力 %+d,33,45,5,11,鑲嵌拼圖 X1,5,15,-70,70,300000
2208,20,Lv12 體力 %+d,39,54,6,14,鑲嵌拼圖 X1,5,15,-70,60,500000
2209,20,Lv13 體力 %+d,48,74,12,25,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2210,20,Lv14 體力 %+d,68,122,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2211,20,Lv15 體力 %+d,90,170,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2212,20,Lv16 體力 %+d,114,218,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2213,20,Lv17 體力 %+d,141,266,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2214,20,Lv18 體力 %+d,170,314,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2215,20,Lv19 體力 %+d,202,362,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2216,20,Lv20 體力 %+d,236,410,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2217,20,Lv1 物理最小傷害 %+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2218,20,Lv2 物理最小傷害 %+d％,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
2219,20,Lv3 物理最小傷害 %+d％,3,6,1,3,鑲嵌拼圖 X1,5,15,10,95,5000
2220,20,Lv4 物理最小傷害 %+d％,5,8,2,3,鑲嵌拼圖 X1,5,15,10,95,8000
2221,20,Lv5 物理最小傷害 %+d％,7,11,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
2222,20,Lv6 物理最小傷害 %+d％,9,14,2,4,鑲嵌拼圖 X1,5,15,10,95,18000
2223,20,Lv7 物理最小傷害 %+d％,11,17,2,4,鑲嵌拼圖 X1,5,15,10,95,27000
2224,20,Lv8 物理最小傷害 %+d％,13,21,2,5,鑲嵌拼圖 X1,5,15,10,95,55000
2225,20,Lv9 物理最小傷害 %+d％,15,24,2,5,鑲嵌拼圖 X1,5,15,10,95,68500
2226,20,Lv10 物理最小傷害 %+d％,18,29,3,6,鑲嵌拼圖 X1,5,15,10,95,89000
2227,20,Lv11 物理最小傷害 %+d％,22,31,4,8,鑲嵌拼圖 X1,5,15,-70,70,300000
2228,20,Lv12 物理最小傷害 %+d％,26,37,4,9,鑲嵌拼圖 X1,5,15,-70,60,500000
2229,20,Lv13 物理最小傷害 %+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2230,20,Lv14 物理最小傷害 %+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2231,20,Lv15 物理最小傷害 %+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2232,20,Lv16 物理最小傷害 %+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2233,20,Lv17 物理最小傷害 %+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2234,20,Lv18 物理最小傷害 %+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2235,20,Lv19 物理最小傷害 %+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2236,20,Lv20 物理最小傷害 %+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2237,20,Lv1 物理最大傷害%+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2238,20,Lv2 物理最大傷害%+d％,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
2239,20,Lv3 物理最大傷害%+d％,3,6,1,3,鑲嵌拼圖 X1,5,15,10,95,5000
2240,20,Lv4 物理最大傷害%+d％,5,8,2,3,鑲嵌拼圖 X1,5,15,10,95,8000
2241,20,Lv5 物理最大傷害%+d％,7,11,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
2242,20,Lv6 物理最大傷害%+d％,9,14,2,4,鑲嵌拼圖 X1,5,15,10,95,18000
2243,20,Lv7 物理最大傷害%+d％,11,17,2,4,鑲嵌拼圖 X1,5,15,10,95,27000
2244,20,Lv8 物理最大傷害%+d％,13,21,2,5,鑲嵌拼圖 X1,5,15,10,95,55000
2245,20,Lv9 物理最大傷害%+d％,15,24,2,5,鑲嵌拼圖 X1,5,15,10,95,68500
2246,20,Lv10 物理最大傷害%+d％,18,29,3,6,鑲嵌拼圖 X1,5,15,10,95,89000
2247,20,Lv11 物理最大傷害%+d％,22,31,4,8,鑲嵌拼圖 X1,5,15,-70,70,300000
2248,20,Lv12 物理最大傷害%+d％,26,37,4,9,鑲嵌拼圖 X1,5,15,-70,60,500000
2249,20,Lv13 物理最大傷害%+d％,31,45,5,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2250,20,Lv14 物理最大傷害%+d％,35,54,6,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2251,20,Lv15 物理最大傷害%+d％,40,63,7,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2252,20,Lv16 物理最大傷害%+d％,46,72,8,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2253,20,Lv17 物理最大傷害%+d％,53,81,9,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2254,20,Lv18 物理最大傷害%+d％,61,90,10,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2255,20,Lv19 物理最大傷害%+d％,69,99,11,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2256,20,Lv20 物理最大傷害%+d％,78,108,12,12,特殊鑲嵌拼圖 X1,5,15,-70,50,0
2257,20,Lv1 物理攻擊命中率 %+d％,1,2,1,2,鑲嵌拼圖 X1,5,15,10,95,1000
2258,20,Lv2 物理攻擊命中率 %+d％,2,3,1,2,鑲嵌拼圖 X1,5,15,10,95,2500
2259,20,Lv3 物理攻擊命中率 %+d％,3,5,1,2,鑲嵌拼圖 X1,5,15,10,95,5000
2260,20,Lv4 物理攻擊命中率 %+d％,4,6,1,2,鑲嵌拼圖 X1,5,15,10,95,8000
2261,20,Lv5 物理攻擊命中率 %+d％,6,8,2,2,鑲嵌拼圖 X1,5,15,10,95,12000
2262,20,Lv6 物理攻擊命中率 %+d％,8,11,2,3,鑲嵌拼圖 X1,5,15,10,95,18000
2263,20,Lv7 物理攻擊命中率 %+d％,10,13,2,3,鑲嵌拼圖 X1,5,15,10,95,27000
2264,20,Lv8 物理攻擊命中率 %+d％,12,16,2,3,鑲嵌拼圖 X1,5,15,10,95,55000
