ID,_Description,_DelayTime0,_Sound0,_Loop0,_DelayTime1,_Sound1,_Loop1,_DelayTime2,_Sound2,_Loop2,_DelayTime3,_Sound3,_Loop3,_DelayTime4,_Sound4,_Loop4,_DelayTime5,_Sound5,_Loop5,_DelayTime6,_Sound6,_Loop6,_DelayTime7,_Sound7,_Loop7,_DelayTime8,_Sound8,_Loop8,_DelayTime9,_Sound9,_Loop9,_DelayTime10,_Sound10,_Loop10
774,[????] ???? ??,0,[Emot]_EMOTICON56.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
775,[????] ???? ????,0,[Emot]_EMOTICON57.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
776,[????] ?????,0,[Emot]_EMOTICON61.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
777,[????] ????,0,[Emot]_EMOTICON62.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
778,[????] ???? ????,0,[Emot]_EMOTICON63.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
779,[????] ????? ??,0,[Emot]_EMOTICON64.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
780,[????] ????,0,[Emot]_EMOTICON65.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
781,[????] ???,0,[Emot]_EMOTICON66.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
782,[????] ??????01,0,[Emot]_EMOTICON58.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
783,[???] ?????01 NICE,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
784,[???] ?????02 COOL,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
785,[???] ?????03 GREAT,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
786,[???] ?????04 CLAZY,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
787,[???] ?????05 EXCELLENT,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
788,[???] ?????06 AMAZING,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
789,[???] ?? ??? ???,0,[System]_Shop_Bell.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
790,[????] ??,0,[Mon_002_58]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
791,[????] ??,0,[Mon_002_58]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
792,[????] ??,0,[Mon_002_58]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
793,[????] ??,0,[Mon_002_58]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
794,[????] ??,0,[Mon_002_58]_Skill.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
795,[?????] ??,0,[Mon_3_031_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
796,[???] ??,0,[Mon_3_030_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
797,[???] ??,0,[Mon_3_030_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
798,[???] ??,0,[Mon_3_030_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
799,[???] ??,0,[Mon_3_030_01]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
800,[???] ??1,0,[Mon_3_030_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
801,[???] ??2,0,[Mon_3_030_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
802,[???] ??3,0,[Mon_3_030_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
803,[???] ??4,0,[Mon_3_030_01]_Skill4.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
804,[?????] ??1,0,[Mon_3_040_01]_Attack1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
805,[?????] ??2,0,[Mon_3_040_01]_Attack2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
806,[?????] ??,0,[Mon_3_040_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
807,[?????] ??,0,[Mon_3_040_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
808,[???] ??,0,[Mon_3_034_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
809,[???] ??1,0,[Mon_3_034_01]_Skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
810,[???] ??2,0,[Mon_3_034_01]_Skill02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
811,[???] ??3,0,[Mon_3_034_01]_Skill03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
812,[???] ??4,0,[Mon_3_034_01]_Skill04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
813,[???] ??5,0,[Mon_3_034_01]_Skill05.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
814,[?? ???] ??,0,[Mon_3_042_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
815,[??? ???] ??,0,[Mon_002_60]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
816,[??? ???] ??,0,[Mon_002_60]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
817,[? ???] ??,0,[Mon_3_039_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
818,[? ???] ??,0,[Mon_3_039_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
819,[????] ??,0,[Mon_002_59]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
820,[??] ??,0,[Mon_3_005_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
821,[??] ??,0,[Mon_3_005_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
822,[??] ??,0,[Mon_3_005_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
823,[??] ??,0,[Mon_3_005_01]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
824,[??] ??1,0,[Mon_3_005_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
825,[??] ??2,0,[Mon_3_005_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
826,[????] ??,0,[Mon_3_038_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
827,[????] ??,0,[Mon_3_038_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
828,[????] ??,0,[Mon_3_038_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
829,[????] ??,0,[Mon_3_038_01]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
830,[????] ??1,0,[Mon_3_038_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
831,[????] ??2,0,[Mon_3_038_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
832,[????] ??3,0,[Mon_3_038_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
833,[????] ??4,0,[Mon_3_038_01]_Skill4.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
834,[???] ??,0,[Mon_3_041_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
835,[???] ??,0,[Mon_3_041_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
836,[???] ??,0,[Mon_3_041_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
837,[???] ??,0,[Mon_3_041_01]_Skill.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
838,[???] ??,0,[Mon_002_57]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
839,[???] ??,0,[Mon_002_57]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
840,[???] ??,0,[Mon_002_57]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
841,[???] ??,0,[Mon_002_57]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
842,[???] ??1,0,[Mon_002_57]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
843,[???] ??2,0,[Mon_002_57]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
844,[????] ??,0,[Mon_3_035_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
845,[????] ??,0,[Mon_3_035_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
846,[????] ??,0,[Mon_3_035_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
847,[????] ??,0,[Mon_3_035_01]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
848,[????] ??1,0,[Mon_3_035_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
849,[????] ??2,0,[Mon_3_035_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
850,[????] ??3,0,[Mon_3_035_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
851,[????] ??4,0,[Mon_3_035_01]_Skill4.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
852,[??] ??,0,[Mon_3_037_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
853,[??] ??,0,[Mon_3_037_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
854,[??] ??,0,[Mon_3_037_01]_Dash.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
855,[??] ??,0,[Mon_3_037_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
856,[??] ??1,0,[Mon_3_037_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
857,[??] ??2,0,[Mon_3_037_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
858,[??] ??3,0,[Mon_3_037_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
859,[??? ??] ??,0,[Mon_3_036_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
860,[??? ??] ??,0,[Mon_3_036_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
861,[??? ??] ??1 4 5,0,[Mon_3_036_01]_Skill145.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
862,[??? ??] ??2,0,[Mon_3_036_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
863,[??? ??] ??3,0,[Mon_3_036_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
864,[??? ??] ??,0,[Mon_3_036_02]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
865,[??? ??] ??1,0,[Mon_3_036_02]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
866,[??? ??] ??2,0,[Mon_3_036_02]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
867,[??? ?] ??,0,[Mon_3_036_03]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
868,[??? ?] ??,0,[Mon_3_036_03]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
869,[??? ?] ??1,0,[Mon_3_036_03]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
870,[??? ??] ??,0,[Mon_3_036_04]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
871,[??? ??] ??2,0,[Mon_3_036_04]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
872,[??? ??] ??5,0,[Mon_3_036_04]_Skill5.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
873,[??? ??] ?? ?? 20?,0,[Mon_3_036_05]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
874,[??? ??] ?? ??,0,[Mon_3_036_05]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
875,[??] ??,0,[Mon_3_033_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
876,[??] ??,0,[Mon_3_033_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
877,[??] ??1,0,[Mon_3_033_01]_Skill1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
878,[??] ??2,0,[Mon_3_033_01]_Skill2.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
879,[??] ??3,0,[Mon_3_033_01]_Skill3.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
880,[??] ??4,0,[Mon_3_033_01]_Skill4.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
881,[??] ??5,0,[Mon_3_033_01]_Skill5.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
882,[???] ???? ??,0,[System]_Treasure_Box.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
883,[???] PvP ??,0,[System]_PvP_Invite.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
884,[???] PvP ??,7,[System]_PvP_Start.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
885,[???] PvP ?? BGM,0,[System]_PvP_Ready.mp3,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
886,[???] PvP ??,0,[System]_PvP_End.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
887,[???] PvP ??????,0,[System]_PvP_Alarm.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
888,[?] ???,0,[Pet]_515_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
889,[?] ??,0,[Pet]_516_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
890,[????] ???????,0,[Emot]_EMOTICON67.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
891,[???] ????? ??,0,[System]_Club_Start.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
892,[???] ????? ?~,0,[System]_Club_Cool.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
893,[???] ????? ??~,0,[System]_Club_Bad.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
894,[??] ??,0,[Mon_002_19]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
895,[??] ??,0,[Mon_002_19]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
896,[??] ??,0,[Mon_002_19]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
897,[?????] ??,0,[Mon_002_64]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
898,[?????] ??,0,[Mon_002_64]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
899,[?????] ??,0,[Mon_002_64]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
900,[?????] ??,0,[Mon_002_64]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
901,[???] ??,0,[Mon_002_65]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
902,[???] ??,0,[Mon_002_65]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
903,[???] ??,0,[Mon_002_65]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
904,[???] ??,0,[Mon_002_65]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
905,[???] ??,0,[Mon_002_65]_Skill.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
906,[??MK2] ??,0,[Mon_002_66]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
907,[??MK2] ??,0,[Mon_002_66]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
908,[???] ????? ??,0,[Skill]_301_05_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
909,[???] ?????? ??,0,[Skill]_301_05_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
910,[???] ??????? ??,0,[Skill]_301_05_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
911,[???] ????? ??,0,[Skill]_301_05_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
912,[???] ???? ??,0,[Skill]_301_06_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
913,[???] ???? ??,0,[Skill]_301_06_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
914,[???] ???? ??,0,[Skill]_301_06_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
915,[???] ???? ??,0,[Skill]_301_06_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
916,[?] ????? ??,0,[Skill]_302_05_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
917,[?] ?????? ??,0,[Skill]_302_05_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
918,[?] ????? ??,0,[Skill]_302_05_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
919,[?] ????? ??,0,[Skill]_302_05_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
920,[?] ?? ??,0,[Skill]_302_06_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
921,[?] ?? ??,0,[Skill]_302_06_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
922,[?] ???? ??,0,[Skill]_302_06_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
923,[?] ???? ??,0,[Skill]_302_06_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
924,[???] ???01,0,[Skill]_311_02_ATTACK_B_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
925,[???] ???02,0,[Skill]_311_02_ATTACK_B_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
926,[???] ???03,0,[Skill]_311_02_ATTACK_B_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
927,[???] ???04,0,[Skill]_311_02_ATTACK_B_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
928,[???] ???05,0,[Skill]_311_02_ATTACK_B_05.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
929,[??] ????? ??,0,[Skill]_323_05_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
930,[??] ?????? ??,0,[Skill]_323_05_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
931,[??] ?????? ??,0,[Skill]_323_05_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
932,[??] ????? ??,0,[Skill]_323_05_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
933,[??] ???? ??,0,[Skill]_323_06_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
934,[??] ???? ??,0,[Skill]_323_06_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
935,[??] ???? ??,0,[Skill]_323_06_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
936,[??] ???? ??,0,[Skill]_323_06_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
937,[??] ??? ??,0,[Skill]_331_05_SKILL_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
938,[??] ??? ??,0,[Skill]_331_05_SKILL_02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
939,[??] ??? ??,0,[Skill]_331_05_SKILL_03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
940,[??] ??? ??,0,[Skill]_331_05_SKILL_04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
