ID,_Name,_Description,_MaxLv,_Up_Mastery_Point,_Icon,_IconIndex,_StatusEffect1,_StatusEffectType1,_StatusEffect1_Value1,_StatusEffect1_Value2,_StatusEffect2,_StatusEffectType2,_StatusEffect2_Value1,_StatusEffect2_Value2
10309,召喚獸經驗值IV,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,2,10003043,153,3,632,0,1,0,0,0,0
10310,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10311,目標數II,[特性] 召喚後增加角色的技能目標數。\n\n※效果※\n角色技能目標數增加1,1,5,10003042,70,3,614,1,0,0,0,0,0
10312,忘卻藥水[技能冷卻時間],[特性] 減少忘卻藥水技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1302,60,0,0,0,0
10401,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10402,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10403,強化召喚獸I,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加1%,5,1,10003042,84,2,20001,1,0,0,0,0,0
10404,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10405,魔界之光[精通],[特性] 強化魔界之光的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,12,2,20004,1401,0,0,0,0,0
10406,魔界之光[技能冷卻時間],[特性] 減少魔界之光技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1401,20,0,0,0,0
10407,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10408,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10409,種族本能[精通],[特性] 強化種族本能的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,13,2,20004,1402,0,0,0,0,0
10410,種族本能[技能冷卻時間],[特性] 減少種族本能技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1402,25,0,0,0,0
10411,強化召喚獸II,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加2%,5,2,10003042,84,2,20001,2,0,0,0,0,0
10412,死亡鐮刀[精通],[特性] 強化死亡鐮刀的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,14,2,20004,1403,0,0,0,0,0
10413,死亡鐮刀[技能冷卻時間],[特性] 減少死亡鐮刀技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1403,30,0,0,0,0
10414,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10415,報復刀刃[精通],[特性] 強化報復刀刃的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,15,2,20004,1404,0,0,0,0,0
10416,報復刀刃[技能冷卻時間],[特性] 減少報復刀刃技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1404,40,0,0,0,0
10417,黑色尖刺[精通],[特性] 強化黑色尖刺的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,16,2,20004,1405,0,0,0,0,0
10418,黑色尖刺[技能冷卻時間],[特性] 減少黑色尖刺技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1405,60,0,0,0,0
10419,黑色尖刺[束縛],[特性] 黑色尖刺技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於束縛狀態,1,5,10003043,152,2,20006,5,0,0,0,0,0
10420,種族本能[束縛],[特性] 種族本能技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於束縛狀態,1,5,10003043,152,2,20006,3,0,0,0,0,0
10501,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10502,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10503,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10504,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10505,黃粱一夢[精通],[特性] 增加黃粱一夢的持續時間。\n\n※效果※\n持續時間：30秒,1,5,10003046,17,2,20004,1501,0,0,0,0,0
10506,未使用3,未使用3,1,1,10003042,125,0,0,0,0,0,0,0,0
10507,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10508,召喚獸經驗值III,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10509,目標數I,[特性] 召喚後增加角色的技能目標數。\n\n※效果※\n角色技能目標數增加1,1,5,10003042,70,3,614,1,0,0,0,0,0
10510,召喚獸經驗值IV,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,2,10003043,153,3,632,0,1,0,0,0,0
10511,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10512,目標數II,[特性] 召喚後增加角色的技能目標數。\n\n※效果※\n角色技能目標數增加1,1,5,10003042,70,3,614,1,0,0,0,0,0
10513,一夜暴富[精通],[特性] 強化一夜暴富的效果。\n\n※效果※\n彩虹幣獲得量變更為每等級增加2%,1,5,10003046,18,2,20004,1502,0,0,0,0,0
10514,一夜暴富[技能冷卻時間],[特性] 減少一夜暴富技能冷卻時間。\n\n※效果※\n每等級減少4秒,5,1,10003042,125,2,20005,1502,40,0,0,0,0
10601,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10602,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10603,強化召喚獸I,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加1%,5,1,10003042,84,2,20001,1,0,0,0,0,0
10604,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10605,彩虹光束[精通],[特性] 強化彩虹光束的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,8,2,20004,1601,0,0,0,0,0
10606,彩虹光束[技能冷卻時間],[特性] 減少彩虹光束技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1601,20,0,0,0,0
10607,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10608,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10609,閃耀激光[精通],[特性] 強化閃耀激光的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,9,2,20004,1602,0,0,0,0,0
10610,閃耀激光[技能冷卻時間],[特性] 減少閃耀激光技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1602,45,0,0,0,0
10611,強化召喚獸II,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加2%,5,2,10003042,84,2,20001,2,0,0,0,0,0
10612,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10613,彩虹火焰[精通],[特性] 強化彩虹火焰的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,10,2,20004,1603,0,0,0,0,0
10614,彩虹火焰[技能冷卻時間],[特性] 減少彩虹火焰技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1603,30,0,0,0,0
10615,彩虹猛衝[精通],[特性] 強化彩虹猛衝的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,11,2,20004,1604,0,0,0,0,0
10616,彩虹猛衝[技能冷卻時間],[特性] 減少彩虹猛衝技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1604,60,0,0,0,0
10617,彩虹猛衝[緩慢],[特性] 彩虹猛衝技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於緩慢狀態,1,5,10003043,62,2,20006,6,0,0,0,0,0
10701,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10702,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10703,強化召喚獸I,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加1%,5,1,10003042,84,2,20001,1,0,0,0,0,0
10704,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10705,艾莉兒的眼淚[精通],[特性] 強化艾莉兒的眼淚的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,21,2,20004,1701,0,0,0,0,0
10706,艾莉兒的眼淚[技能冷卻時間],[特性] 減少艾莉兒的眼淚技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1701,20,0,0,0,0
10707,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10708,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10709,艾莉兒之歌[精通],[特性] 強化艾莉兒之歌的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,22,2,20004,1702,0,0,0,0,0
10710,艾莉兒之歌[技能冷卻時間],[特性] 減少艾莉兒之歌技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1702,25,0,0,0,0
10711,強化召喚獸II,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加2%,5,2,10003042,84,2,20001,2,0,0,0,0,0
10712,艾莉兒的憤怒[精通],[特性] 強化艾莉兒的憤怒的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,23,2,20004,1703,0,0,0,0,0
10713,艾莉兒的憤怒[技能冷卻時間],[特性] 減少艾莉兒的憤怒技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1703,30,0,0,0,0
10714,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10715,艾莉兒的誘惑[精通],[特性] 強化艾莉兒的誘惑的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,24,2,20004,1704,0,0,0,0,0
10716,艾莉兒的誘惑[技能冷卻時間],[特性] 減少艾莉兒的誘惑技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1704,40,0,0,0,0
10717,蛇蠍美人[精通],[特性] 強化蛇蠍美人的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,25,2,20004,1705,0,0,0,0,0
10718,蛇蠍美人[技能冷卻時間],[特性] 減少蛇蠍美人技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1705,60,0,0,0,0
10719,蛇蠍美人[緩慢],[特性] 蛇蠍美人技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於緩慢狀態,1,5,10003043,62,2,20006,7,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0
